,line,location,language,original_comment,new_line,trigram,comment length,value,category,keywords,description,length,prediction
109,"['prefer', 'descript', 'banner', 'sign']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 412,xml,Preference description for banner about signing in  ,prefer descript banner sign,"[('prefer', 'descript', 'banner'), ('descript', 'banner', 'sign')]",4,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
110,"['prefer', 'shown', 'instead', 'account', 'display', 'name', 'account', 'profil', 'inform', 'avail', 'yet']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 414,xml,Preference shown instead of account display name while account profile information isn't available yet.  ,prefer shown instead account display name account profil inform avail yet,"[('prefer', 'shown', 'instead'), ('shown', 'instead', 'account'), ('instead', 'account', 'display'), ('account', 'display', 'name'), ('display', 'name', 'account'), ('name', 'account', 'profil'), ('account', 'profil', 'inform'), ('profil', 'inform', 'isnt'), ('inform', 'isnt', 'avail'), ('isnt', 'avail', 'yet')]",12,"['obeys choosing own goals', 'obeys choice', 'violates obedient']","['self-direction', 'Self_direction', 'Conformity']","['instead', 'prefer', 'instead']","conforms with value, value violation",11,
111,"['prefer', 'text', 'account', 'titl', 'error', 'sync', 'fxa']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 416,xml,Preference text for account title when there was an error syncing FxA  ,prefer text account titl error sync fxa,"[('prefer', 'text', 'account'), ('text', 'account', 'titl'), ('account', 'titl', 'error'), ('titl', 'error', 'sync'), ('error', 'sync', 'fxa')]",7,"['obeys choice', 'violates healthy']","['Self_direction', 'Security']","['prefer', 'error']","conforms with value, value violation",7, security
112,"['prefer', 'data', 'choic']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 420,xml,Preference for data choices  ,prefer data choic,"[('prefer', 'data', 'choic')]",3,['obeys choice'],['Self_direction'],"['prefer', 'choic']",conforms with value,3,
113,"['prefer', 'data', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 422,xml,Preference for data collection  ,prefer data collect,"[('prefer', 'data', 'collect')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
114,"['prefer', 'link', 'privaci', 'notic']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 424,xml,Preference linking to the privacy notice  ,prefer link privaci notic,"[('prefer', 'link', 'privaci'), ('link', 'privaci', 'notic')]",4,"['obeys privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['privaci', 'prefer']",conforms with value,4,
115,"['prefer', 'categori', 'develop', 'tool']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 426,xml,Preference category for developer tools  ,prefer categori develop tool,"[('prefer', 'categori', 'develop'), ('categori', 'develop', 'tool')]",4,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
116,"['prefer', 'titl', 'switch', 'prefer', 'show', 'search', 'engin']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 430,xml,Preference title for switch preference to show search engines  ,prefer titl switch prefer show search engin,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'show'), ('prefer', 'show', 'search'), ('show', 'search', 'engin')]",7,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,7,
117,"['prefer', 'titl', 'switch', 'prefer', 'show', 'search', 'suggest', 'ion']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 432,xml,Preference title for switch preference to show search suggestions  ,prefer titl switch prefer show search suggest ion,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'show'), ('prefer', 'show', 'search'), ('show', 'search', 'suggest')]",7,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,8,
118,"['prefer', 'titl', 'switch', 'prefer', 'show', 'voic', 'search', 'button']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 434,xml,Preference title for switch preference to show voice search button  ,prefer titl switch prefer show voic search button,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'show'), ('prefer', 'show', 'voic'), ('show', 'voic', 'search'), ('voic', 'search', 'button')]",8,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,8,
119,"['prefer', 'titl', 'switch', 'prefer', 'show', 'search', 'suggest', 'ion', 'also', 'privat', 'mode']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 436,xml,Preference title for switch preference to show search suggestions also in private mode  ,prefer titl switch prefer show search suggest ion also privat mode,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'show'), ('prefer', 'show', 'search'), ('show', 'search', 'suggest'), ('search', 'suggest', 'also'), ('suggest', 'also', 'privat'), ('also', 'privat', 'mode')]",10,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,11,
120,"['prefer', 'titl', 'switch', 'prefer', 'show', 'clip', 'board', 'suggest', 'search']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 438,xml,Preference title for switch preference to show a clipboard suggestion when searching  ,prefer titl switch prefer show clip board suggest search,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'show'), ('prefer', 'show', 'clipboard'), ('show', 'clipboard', 'suggest'), ('clipboard', 'suggest', 'search')]",8,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,9,
121,"['prefer', 'titl', 'switch', 'prefer', 'suggest', 'brows', 'histori', 'search']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 440,xml,Preference title for switch preference to suggest browsing history when searching  ,prefer titl switch prefer suggest brows histori search,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'suggest'), ('prefer', 'suggest', 'brows'), ('suggest', 'brows', 'histori'), ('brows', 'histori', 'search')]",8,"['obeys privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['histori', 'prefer', 'prefer']",conforms with value,8,
122,"['prefer', 'titl', 'switch', 'prefer', 'suggest', 'bookmark', 'search']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 442,xml,Preference title for switch preference to suggest bookmarks when searching  ,prefer titl switch prefer suggest bookmark search,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'suggest'), ('prefer', 'suggest', 'bookmark'), ('suggest', 'bookmark', 'search')]",7,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,7,
123,"['prefer', 'titl', 'switch', 'prefer', 'suggest', 'sync', 'tab', 'search']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 444,xml,Preference title for switch preference to suggest synced tabs when searching  ,prefer titl switch prefer suggest sync tab search,"[('prefer', 'titl', 'switch'), ('titl', 'switch', 'prefer'), ('switch', 'prefer', 'suggest'), ('prefer', 'suggest', 'sync'), ('suggest', 'sync', 'tab'), ('sync', 'tab', 'search')]",8,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,8,
124,"['prefer', 'account', 'set']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 446,xml,Preference for account settings  ,prefer account set,"[('prefer', 'account', 'set')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
125,"['prefer', 'enabl', 'url', 'auto', 'complet']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 449,xml,Preference for enabling url autocomplete ,prefer enabl url auto complet,"[('prefer', 'enabl', 'url'), ('enabl', 'url', 'autocomplet')]",4,['obeys choice'],['Self_direction'],['prefer'],conforms with value,5,
126,"['prefer', 'open', 'link', 'third', 'parti', 'app']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 451,xml,Preference for open links in third party apps  ,prefer open link third parti app,"[('prefer', 'open', 'link'), ('open', 'link', 'third'), ('link', 'third', 'parti'), ('third', 'parti', 'app')]",6,['obeys choice'],['Self_direction'],['prefer'],conforms with value,6,
127,"['prefer', 'open', 'download', 'extern', 'download', 'manag', 'app']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 454,xml,Preference for open download with an external download manager app  ,prefer open download extern download manag app,"[('prefer', 'open', 'download'), ('open', 'download', 'extern'), ('download', 'extern', 'download'), ('extern', 'download', 'manag'), ('download', 'manag', 'app')]",7,['obeys choice'],['Self_direction'],['prefer'],conforms with value,7,
128,"['addon', 'prefer', 'enc', 'prefer', 'custom', 'ize', 'con', 'figur', 'amo', 'addon', 'mozilla', 'org', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 463,xml,Addon Preferences  Preference to customize the configured AMO (addons.mozilla.org) collection  ,addon prefer enc prefer custom ize con figur amo addon mozilla org collect,"[('addon', 'prefer', 'prefer'), ('prefer', 'prefer', 'custom'), ('prefer', 'custom', 'configur'), ('custom', 'configur', 'amo'), ('configur', 'amo', 'addonsmozillaorg'), ('amo', 'addonsmozillaorg', 'collect')]",8,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,13,
129,"['button', 'caption', 'confirm', 'addon', 'collect', 'configur']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 465,xml,Button caption to confirm the addon collection configuration  ,button caption confirm addon collect configur,"[('button', 'caption', 'confirm'), ('caption', 'confirm', 'addon'), ('confirm', 'addon', 'collect'), ('addon', 'collect', 'configur')]",6,['obeys privacy'],['Self_direction'],['confirm'],conforms with value,6,
130,"['button', 'caption', 'abort', 'addon', 'collect', 'configur']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 467,xml,Button caption to abort the addon collection configuration  ,button caption abort addon collect configur,"[('button', 'caption', 'abort'), ('caption', 'abort', 'addon'), ('abort', 'addon', 'collect'), ('addon', 'collect', 'configur')]",6,['violates healthy'],['Security'],['abort'],value violation,6,
131,"['toast', 'shown', 'confirm', 'custom', 'addon', 'collect', 'configur']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 474,xml,Toast shown after confirming the custom addon collection configuration  ,toast shown confirm custom addon collect configur,"[('toast', 'shown', 'confirm'), ('shown', 'confirm', 'custom'), ('confirm', 'custom', 'addon'), ('custom', 'addon', 'collect'), ('addon', 'collect', 'configur')]",7,['obeys privacy'],['Self_direction'],['confirm'],conforms with value,7,
132,"['titl', 'custom', 'ize', 'home', 'screen', 'section', 'recent', 'visit', 'recent', 'visit', 'section', 'user', 'see', 'list', 'tab', 'visit', 'past', 'day']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 487,xml,Title for the customize home screen section with recently visited. Recently visited is     a section where users see a list of tabs that they have visited in the past few days ,titl custom ize home screen section recent visit recent visit section user see list tab visit past day,"[('titl', 'custom', 'home'), ('custom', 'home', 'screen'), ('home', 'screen', 'section'), ('screen', 'section', 'recent'), ('section', 'recent', 'visit'), ('recent', 'visit', 'recent'), ('visit', 'recent', 'visit'), ('recent', 'visit', 'section'), ('visit', 'section', 'user'), ('section', 'user', 'see'), ('user', 'see', 'list'), ('see', 'list', 'tab'), ('list', 'tab', 'visit'), ('tab', 'visit', 'past'), ('visit', 'past', 'day')]",17,['obeys choosing own goals'],['self-direction'],['see'],conforms with value,18,
133,"['titl', 'custom', 'ize', 'home', 'screen', 'set', 'section', 'recent', 'search', 'es', 'recent', 'search', 'es', 'section', 'user', 'see', 'list', 'group', 'tab', 'visit', 'past', 'day']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 490,xml,Title for the customize home screen settings section for recent searches. Recent searches      is a section where users see a list of groups of tabs that they have visited in the past few days ,titl custom ize home screen set section recent search es recent search es section user see list group tab visit past day,"[('titl', 'custom', 'home'), ('custom', 'home', 'screen'), ('home', 'screen', 'set'), ('screen', 'set', 'section'), ('set', 'section', 'recent'), ('section', 'recent', 'search'), ('recent', 'search', 'recent'), ('search', 'recent', 'search'), ('recent', 'search', 'section'), ('search', 'section', 'user'), ('section', 'user', 'see'), ('user', 'see', 'list'), ('see', 'list', 'group'), ('list', 'group', 'tab'), ('group', 'tab', 'visit'), ('tab', 'visit', 'past'), ('visit', 'past', 'day')]",19,['obeys choosing own goals'],['self-direction'],['see'],conforms with value,22,
134,"['addon', 'instal', 'amo', 'error', 'display', 'user', 'attempt', 'instal', 'addon', 'amo', 'addon', 'mozilla', 'org', 'sup', 'port']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 496,xml,Addon Installation from AMO Error displayed when user attempts to install an addon from AMO (addons.mozilla.org) that is not supported  ,addon instal amo error display user attempt instal addon amo addon mozilla org sup port,"[('addon', 'instal', 'amo'), ('instal', 'amo', 'error'), ('amo', 'error', 'display'), ('error', 'display', 'user'), ('display', 'user', 'attempt'), ('user', 'attempt', 'instal'), ('attempt', 'instal', 'addon'), ('instal', 'addon', 'amo'), ('addon', 'amo', 'addonsmozillaorg'), ('amo', 'addonsmozillaorg', 'support')]",12,"['obeys healthy', 'violates healthy', 'obeys helpful', 'obeys equality']","['Security', 'Security', 'Benevolence', 'Universalism']","['support', 'error', 'support', 'support']",conforms with value,15,
135,"['error', 'display', 'user', 'attempt', 'instal', 'addon', 'amo', 'addon', 'mozilla', 'org', 'alreadi', 'instal']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 498,xml,Error displayed when user attempts to install an addon from AMO (addons.mozilla.org) that is already installed  ,error display user attempt instal addon amo addon mozilla org alreadi instal,"[('error', 'display', 'user'), ('display', 'user', 'attempt'), ('user', 'attempt', 'instal'), ('attempt', 'instal', 'addon'), ('instal', 'addon', 'amo'), ('addon', 'amo', 'addonsmozillaorg'), ('amo', 'addonsmozillaorg', 'alreadi'), ('addonsmozillaorg', 'alreadi', 'instal')]",10,['violates healthy'],['Security'],['error'],value violation,12,
136,"['account', 'prefer', 'enc', 'prefer', 'trigger', 'sync']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 502,xml,Account Preferences  Preference for triggering sync  ,account prefer enc prefer trigger sync,"[('account', 'prefer', 'prefer'), ('prefer', 'prefer', 'trigger'), ('prefer', 'trigger', 'sync')]",5,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,6,
137,"['prefer', 'categori', 'sync']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 504,xml,Preference category for sync  ,prefer categori sync,"[('prefer', 'categori', 'sync')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
138,"['prefer', 'sync', 'histori']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 506,xml,Preference for syncing history  ,prefer sync histori,"[('prefer', 'sync', 'histori')]",3,"['obeys privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['histori', 'prefer']",conforms with value,3,
139,"['prefer', 'sync', 'bookmark']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 508,xml,Preference for syncing bookmarks  ,prefer sync bookmark,"[('prefer', 'sync', 'bookmark')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
140,"['prefer', 'sync', 'login']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 510,xml,Preference for syncing logins  ,prefer sync login,"[('prefer', 'sync', 'login')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
141,"['prefer', 'sync', 'tab']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 512,xml,Preference for syncing tabs  ,prefer sync tab,"[('prefer', 'sync', 'tab')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
142,"['prefer', 'display', 'allow', 'chang', 'current', 'fxa', 'devic', 'name']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 517,xml,Preference displays and allows changing current FxA device name  ,prefer display allow chang current fxa devic name,"[('prefer', 'display', 'allow'), ('display', 'allow', 'chang'), ('allow', 'chang', 'current'), ('chang', 'current', 'fxa'), ('current', 'fxa', 'devic'), ('fxa', 'devic', 'name')]",8,['obeys choice'],['Self_direction'],['prefer'],conforms with value,8,
143,"['label', 'indic', 'ate', 'sync', 'progress']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 521,xml,Label indicating that sync is in progress  ,label indic ate sync progress,"[('label', 'indic', 'sync'), ('indic', 'sync', 'progress')]",4,['obeys broad minded'],['Universalism'],['progress'],conforms with value,5,
144,"['label', 'summari', 'indic', 'ate', 'sync', 'fail', 'first', 'paramet', 'date', 'stamp', 'show', 'last', 'time', 'succeed']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 523,xml,Label summary indicating that sync failed. The first parameter is the date stamp showing last time it succeeded  ,label summari indic ate sync fail first paramet date stamp show last time succeed,"[('label', 'summari', 'indic'), ('summari', 'indic', 'sync'), ('indic', 'sync', 'fail'), ('sync', 'fail', 'first'), ('fail', 'first', 'paramet'), ('first', 'paramet', 'date'), ('paramet', 'date', 'stamp'), ('date', 'stamp', 'show'), ('stamp', 'show', 'last'), ('show', 'last', 'time'), ('last', 'time', 'succeed')]",13,"['obeys pleasure', 'violates healthy']","['Hedonism', 'Security']","['time', 'fail']","conforms with value, value violation",14,
145,"['label', 'summari', 'date', 'last', 'sync', 'first', 'paramet', 'date', 'stamp', 'show', 'last', 'time', 'sync']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 527,xml,Label summary the date we last synced. The first parameter is date stamp showing last time synced  ,label summari date last sync first paramet date stamp show last time sync,"[('label', 'summari', 'date'), ('summari', 'date', 'last'), ('date', 'last', 'sync'), ('last', 'sync', 'first'), ('sync', 'first', 'paramet'), ('first', 'paramet', 'date'), ('paramet', 'date', 'stamp'), ('date', 'stamp', 'show'), ('stamp', 'show', 'last'), ('show', 'last', 'time'), ('last', 'time', 'sync')]",13,['obeys pleasure'],['Hedonism'],['time'],conforms with value,13,
146,"['prefer', 'sync', 'credit', 'card']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 537,xml,Preference for syncing credit cards  ,prefer sync credit card,"[('prefer', 'sync', 'credit'), ('sync', 'credit', 'card')]",4,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
147,"['prefer', 'sync', 'address', 'es']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 539,xml,Preference for syncing addresses  ,prefer sync address es,"[('prefer', 'sync', 'address')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
148,"['advanc', 'prefer', 'enc', 'prefer', 'track', 'protect', 'set']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 555,xml,Advanced Preferences  Preference for tracking protection settings  ,advanc prefer enc prefer track protect set,"[('advanc', 'prefer', 'prefer'), ('prefer', 'prefer', 'track'), ('prefer', 'track', 'protect'), ('track', 'protect', 'set')]",6,"['violates privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['track', 'prefer', 'prefer']",conforms with value,7,
149,"['prefer', 'switch', 'track', 'protect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 557,xml,Preference switch for tracking protection  ,prefer switch track protect,"[('prefer', 'switch', 'track'), ('switch', 'track', 'protect')]",4,"['violates privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['track', 'prefer']",conforms with value,4,
150,"['prefer', 'switch', 'descript', 'track', 'protect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 559,xml,Preference switch description for tracking protection  ,prefer switch descript track protect,"[('prefer', 'switch', 'descript'), ('switch', 'descript', 'track'), ('descript', 'track', 'protect')]",5,"['violates privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['track', 'prefer']",conforms with value,5,
151,"['prefer', 'track', 'protect', 'except', 'ion']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 561,xml,Preference for tracking protection exceptions  ,prefer track protect except ion,"[('prefer', 'track', 'protect'), ('track', 'protect', 'except')]",4,"['violates privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['track', 'prefer']",conforms with value,5,
152,"['prefer', 'descript', 'track', 'protect', 'except', 'ion']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 564,xml,Preference description for tracking protection exceptions  ,prefer descript track protect except ion,"[('prefer', 'descript', 'track'), ('descript', 'track', 'protect'), ('track', 'protect', 'except')]",5,"['violates privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['track', 'prefer']",conforms with value,6,
153,"['button', 'except', 'ion', 'prefer', 'turn', 'track', 'protect', 'site', 'remov', 'except', 'ion']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 566,xml,Button in Exceptions Preference to turn on tracking protection for all sites (remove all exceptions)  ,button except ion prefer turn track protect site remov except ion,"[('button', 'except', 'prefer'), ('except', 'prefer', 'turn'), ('prefer', 'turn', 'track'), ('turn', 'track', 'protect'), ('track', 'protect', 'site'), ('protect', 'site', 'remov'), ('site', 'remov', 'except')]",9,"['violates privacy', 'obeys choice']","['Self_direction', 'Self_direction']","['track', 'prefer']",conforms with value,11,
154,"['text', 'display', 'except', 'ion', 'learn', 'link', 'bring', 'user', 'track', 'protect', 'sumo', 'page']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 570,xml,"Text displayed when there are no exceptions, with learn more link that brings users to a tracking protection SUMO page  ",text display except ion learn link bring user track protect sumo page,"[('text', 'display', 'except'), ('display', 'except', 'learn'), ('except', 'learn', 'link'), ('learn', 'link', 'bring'), ('link', 'bring', 'user'), ('bring', 'user', 'track'), ('user', 'track', 'protect'), ('track', 'protect', 'sumo'), ('protect', 'sumo', 'page')]",11,['violates privacy'],['Self_direction'],['track'],value violation,12,
155,"['prefer', 'switch', 'telemetri']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 573,xml,Preference switch for Telemetry  ,prefer switch telemetri,"[('prefer', 'switch', 'telemetri')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
156,"['prefer', 'switch', 'usag', 'technic', 'data', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 576,xml,Preference switch for usage and technical data collection  ,prefer switch usag technic data collect,"[('prefer', 'switch', 'usag'), ('switch', 'usag', 'technic'), ('usag', 'technic', 'data'), ('technic', 'data', 'collect')]",6,['obeys choice'],['Self_direction'],['prefer'],conforms with value,6,
157,"['prefer', 'descript', 'usag', 'technic', 'data', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 578,xml,Preference description for usage and technical data collection  ,prefer descript usag technic data collect,"[('prefer', 'descript', 'usag'), ('descript', 'usag', 'technic'), ('usag', 'technic', 'data'), ('technic', 'data', 'collect')]",6,['obeys choice'],['Self_direction'],['prefer'],conforms with value,6,
158,"['prefer', 'switch', 'market', 'data', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 580,xml,Preference switch for marketing data collection  ,prefer switch market data collect,"[('prefer', 'switch', 'market'), ('switch', 'market', 'data'), ('market', 'data', 'collect')]",5,['obeys choice'],['Self_direction'],['prefer'],conforms with value,5,
159,"['prefer', 'descript', 'market', 'data', 'collect', 'paramet', 'app', 'name', 'e', 'g', 'firefox']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 582,xml,"Preference description for marketing data collection, parameter is the app name (e.g. Firefox)  ",prefer descript market data collect paramet app name e g firefox,"[('prefer', 'descript', 'market'), ('descript', 'market', 'data'), ('market', 'data', 'collect'), ('data', 'collect', 'paramet'), ('collect', 'paramet', 'app'), ('paramet', 'app', 'name'), ('app', 'name', 'eg'), ('name', 'eg', 'firefox')]",10,['obeys choice'],['Self_direction'],['prefer'],conforms with value,11,
160,"['prefer', 'descript', 'market', 'data', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 584,xml,Preference description for marketing data collection  ,prefer descript market data collect,"[('prefer', 'descript', 'market'), ('descript', 'market', 'data'), ('market', 'data', 'collect')]",5,['obeys choice'],['Self_direction'],['prefer'],conforms with value,5,
161,"['titl', 'studi', 'prefer', 'enc']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 586,xml,Title for studies preferences  ,titl studi prefer enc,"[('titl', 'studi', 'prefer')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
162,"['summari', 'studi', 'prefer', 'enc']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 588,xml,Summary for studies preferences  ,summari studi prefer enc,"[('summari', 'studi', 'prefer')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
163,"['titl', 'experi', 'prefer', 'enc']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 590,xml,Title for experiments preferences  ,titl experi prefer enc,"[('titl', 'experi', 'prefer')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
164,"['summari', 'experi', 'prefer', 'enc']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 592,xml,Summary for experiments preferences  ,summari experi prefer enc,"[('summari', 'experi', 'prefer')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,4,
165,"['prefer', 'switch', 'crash', 'report']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 594,xml,Preference switch for crash reporter  ,prefer switch crash report,"[('prefer', 'switch', 'crash'), ('switch', 'crash', 'report')]",4,"['obeys choice', 'violates pleasure', 'violates healthy']","['Self_direction', 'Hedonism', 'Security']","['prefer', 'crash', 'crash']","conforms with value, value violation, value violation",4,
166,"['prefer', 'switch', 'mozilla', 'locat', 'servic']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 596,xml,Preference switch for Mozilla location service  ,prefer switch mozilla locat servic,"[('prefer', 'switch', 'mozilla'), ('switch', 'mozilla', 'locat'), ('mozilla', 'locat', 'servic')]",5,['obeys choice'],['Self_direction'],['prefer'],conforms with value,5,
167,"['prefer', 'switch', 'app', 'health', 'report', 'first', 'paramet', 'name', 'applic', 'exampl', 'fenix']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 599,xml,Preference switch for app health report. The first parameter is the name of the application (For example: Fenix)  ,prefer switch app health report first paramet name applic exampl fenix,"[('prefer', 'switch', 'app'), ('switch', 'app', 'health'), ('app', 'health', 'report'), ('health', 'report', 'first'), ('report', 'first', 'paramet'), ('first', 'paramet', 'name'), ('paramet', 'name', 'applic'), ('name', 'applic', 'exampl'), ('applic', 'exampl', 'fenix')]",11,"['obeys choice', 'obeys curious']","['Self_direction', 'Self_direction']","['prefer', 'exampl']",conforms with value,11,
168,"['turn', 'sync', 'prefer', 'enc', 'header', 'turn', 'sync', 'prefer', 'view']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 603,xml,Turn On Sync Preferences  Header of the Turn on Sync preference view  ,turn sync prefer enc header turn sync prefer view,"[('turn', 'sync', 'prefer'), ('sync', 'prefer', 'header'), ('prefer', 'header', 'turn'), ('header', 'turn', 'sync'), ('turn', 'sync', 'prefer'), ('sync', 'prefer', 'view')]",8,['obeys choice'],['Self_direction'],"['prefer', 'prefer']",conforms with value,9,
169,"['prefer', 'account', 'login']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 607,xml,Preference for account login  ,prefer account login,"[('prefer', 'account', 'login')]",3,['obeys choice'],['Self_direction'],['prefer'],conforms with value,3,
